Date,Value
2015-06-30,0.0064265993
2015-03-31,-0.0026342263
2014-12-31,0.0457768338
2014-09-30,0.0128546468
2014-06-30,0.0224175247
2014-03-31,-0.0071787682
2013-12-31,0.0956392307
2013-09-30,0.0147602887
2013-06-30,0.0227087212
2013-03-31,0.1125140604
2012-12-31,-0.0247813335
2012-09-30,0.043248145
2012-06-30,-0.0251248104
2012-03-31,0.0813975949
2011-12-31,0.1195028488
2011-09-30,-0.1209053401
2011-06-30,0.0076795514
2011-03-31,0.0641087764
2010-12-31,0.0731791195
2010-09-30,0.1037474857
2010-06-30,-0.0997187893
2010-03-31,0.0410987673
2009-12-31,0.0736974222
2009-09-30,0.1497904582
2009-06-30,0.1101444095
2009-03-31,-0.1330239426
2008-12-31,-0.19116533
2008-09-30,-0.043995556
2008-06-30,-0.0744424846
2008-03-31,-0.0755328757
2007-12-31,-0.0453962865
2007-09-30,0.0363206654
2007-06-30,0.0853359343
2007-03-31,-0.0087297353
2006-12-31,0.0671354825
2006-09-30,0.0474295574
2006-06-30,0.0036815935
2006-03-31,0.036558899
2005-12-31,0.0140793097
2005-09-30,0.0285869448
2005-06-30,-0.0217817239
2005-03-31,-0.0258972216
2004-12-31,0.0697144025
2004-09-30,-0.0340386834
2004-06-30,0.0075093892
2004-03-31,-0.0092042028
2003-12-31,0.1270999864
2003-09-30,0.0322321444
2003-06-30,0.1242860164
2003-03-31,-0.0418982861
2002-12-31,0.0987495933
2002-09-30,-0.1786523369
2002-06-30,-0.1115615815
2002-03-31,0.0381619518
2001-12-31,0.1326851697
2001-09-30,-0.157567794
2001-06-30,0.0631272283
2001-03-31,-0.0841830562
2000-12-31,0.0127622778
2000-09-30,0.0194316561
2000-06-30,-0.0434016699
2000-03-31,-0.0500290508
1999-12-31,0.1122341578
1999-09-30,-0.0577760439
1999-06-30,0.1210536104
1999-03-31,0.0658644677
1998-12-31,0.1707095333
1998-09-30,-0.1239263584
1998-06-30,0.017296984
1998-03-31,0.1127381061
1997-12-31,-0.0046581291
1997-09-30,0.0355098993
1997-06-30,0.1654628942
1997-03-31,0.0209684473
1996-12-31,0.0962401567
1996-09-30,0.0402396624
1996-06-30,0.0120777357
1996-03-31,0.0918524483
1995-12-31,0.0684974985
1995-09-30,0.051138147
1995-06-30,0.0958224399
1995-03-31,0.0843017494
1994-12-31,-0.0022741584
1994-09-30,0.060199285
1994-06-30,-0.0030253358
1994-03-31,-0.0314670133
1993-12-31,0.0559671685
1993-09-30,0.0111032741
1993-06-30,0.0235712976
1993-03-31,0.0405924068
1992-12-31,0.0090015466
1992-09-30,-0.0141207526
1992-06-30,0.0256686046
1992-03-31,0.0210298438
1991-12-31,0.0504049033
1991-09-30,0.0378498323
1991-06-30,-0.0024400623
1991-03-31,0.1063918653
1990-12-31,0.0738762396
1990-09-30,-0.1486484141
1990-06-30,0.0640807326
1990-03-31,-0.0167041988
1989-12-31,0.0224225904
1989-09-30,0.1035876167
