"Citation: Samuel H. Williamson, 'What Was the U.K. GDP Then?' MeasuringWorth, 2015. "
"Year","Nominal GDP (million of pounds)","Real GDP (millions of 2008 pounds)","GDP Deflator (index 2008 = 100)","Nominal GDP per capita (current pounds)","Real GDP per capita (2008 pounds)"
"1820","444","34,323","1.29","20.90","1,616.03"
"1821","420","34,912","1.20","19.49","1,619.95"
"1822","398","35,591","1.12","18.25","1,630.21"
"1823","421","36,645","1.15","19.05","1,656.85"
"1824","457","38,660","1.18","20.40","1,725.35"
"1825","515","39,534","1.30","22.70","1,741.75"
"1826","446","37,417","1.19","19.38","1,627.10"
"1827","467","40,305","1.16","20.06","1,731.69"
"1828","464","40,429","1.15","19.71","1,716.00"
"1829","448","40,772","1.10","18.80","1,709.73"
"1830","469","42,603","1.10","19.41","1,764.90"
"1831","466","44,507","1.05","19.06","1,821.57"
"1832","445","43,872","1.01","18.04","1,777.34"
"1833","440","44,507","0.99","17.63","1,784.76"
"1834","467","46,410","1.01","18.53","1,842.11"
"1835","493","48,767","1.01","19.37","1,916.03"
"1836","526","49,673","1.06","20.44","1,931.68"
"1837","505","49,311","1.02","19.45","1,898.90"
"1838","536","52,030","1.03","20.44","1,984.13"
"1839","565","54,296","1.04","21.33","2,050.22"
"1840","529","52,755","1.00","19.80","1,972.52"
"1841","504","50,852","0.99","18.67","1,883.11"
"1842","485","50,489","0.96","17.76","1,850.97"
"1843","483","52,030","0.93","17.54","1,891.24"
"1844","527","54,840","0.96","18.95","1,973.72"
"1845","557","57,741","0.97","19.88","2,059.22"
"1846","596","61,638","0.97","21.07","2,180.19"
"1847","619","60,097","1.03","22.02","2,137.33"
"1848","596","62,001","0.96","21.52","2,239.67"
"1849","606","62,907","0.96","22.10","2,293.46"
"1850","555","61,820","0.90","20.41","2,274.37"
"1851","583","64,539","0.90","21.63","2,395.21"
"1852","588","65,808","0.89","21.73","2,430.49"
"1853","658","67,712","0.97","24.13","2,485.01"
"1854","697","68,890","1.01","25.39","2,510.01"
"1855","716","69,887","1.03","25.87","2,523.27"
"1856","748","73,162","1.02","26.74","2,614.98"
"1857","744","73,286","1.02","26.40","2,600.09"
"1858","724","73,595","0.98","25.46","2,589.36"
"1859","765","76,491","1.00","26.70","2,668.91"
"1860","779","77,948","1.00","26.95","2,698.30"
"1861","821","79,657","1.03","28.19","2,734.73"
"1862","835","80,616","1.04","28.39","2,741.95"
"1863","879","82,415","1.07","29.66","2,781.46"
"1864","916","83,818","1.09","30.70","2,808.72"
"1865","950","87,526","1.09","31.57","2,908.90"
"1866","982","88,316","1.11","32.40","2,913.26"
"1867","972","87,299","1.11","31.80","2,855.52"
"1868","972","90,128","1.08","31.52","2,921.95"
"1869","993","91,929","1.08","31.90","2,953.34"
"1870","1,060","99,147","1.07","33.76","3,157.54"
"1871","1,146","104,440","1.10","36.16","3,296.19"
"1872","1,216","104,881","1.16","38.14","3,290.47"
"1873","1,275","105,856","1.20","39.61","3,289.81"
"1874","1,267","110,035","1.15","39.00","3,385.59"
"1875","1,241","111,280","1.11","37.78","3,388.64"
"1876","1,224","112,079","1.09","36.88","3,375.88"
"1877","1,211","112,781","1.07","36.07","3,358.99"
"1878","1,179","113,154","1.04","34.76","3,334.72"
"1879","1,138","111,001","1.03","33.17","3,235.80"
"1880","1,213","118,854","1.02","35.04","3,432.80"
"1881","1,238","121,447","1.02","35.43","3,476.37"
"1882","1,278","123,457","1.04","36.30","3,506.70"
"1883","1,280","127,118","1.01","36.11","3,585.85"
"1884","1,240","125,986","0.98","34.70","3,526.66"
"1885","1,212","125,042","0.97","33.66","3,471.95"
"1886","1,221","125,826","0.97","33.62","3,465.05"
"1887","1,274","130,898","0.97","34.80","3,576.63"
"1888","1,328","134,970","0.98","36.00","3,659.61"
"1889","1,402","139,328","1.01","37.71","3,747.59"
"1890","1,437","140,563","1.02","38.33","3,749.84"
"1891","1,438","143,848","1.00","38.04","3,805.29"
"1892","1,400","141,009","0.99","36.70","3,697.72"
"1893","1,401","140,119","1.00","36.39","3,640.39"
"1894","1,478","146,584","1.01","38.04","3,772.21"
"1895","1,515","151,428","1.00","38.63","3,860.89"
"1896","1,564","157,877","0.99","39.50","3,986.89"
