"Note: <i>Current data is only available till 2014.</i>"
"Samuel H. Williamson, 'What Was the U.S. GDP Then?' MeasuringWorth, 2015."
"Year","Nominal GDP (million of Dollars)","Real GDP (millions of 2009 dollars)","GDP Deflator (index 2009=100)","Nominal GDP per capita (current dollars)","Real GDP per capita (year 2009 dollars)"
"1820","710","15,574","4.56","73.79","1,619.22"
"1821","735","16,403","4.48","74.22","1,656.99"
"1822","805","17,024","4.73","79.04","1,670.87"
"1823","759","17,640","4.30","72.40","1,681.97"
"1824","754","18,686","4.03","69.83","1,731.03"
"1825","822","19,522","4.21","73.97","1,756.41"
"1826","866","20,217","4.28","75.66","1,765.80"
"1827","916","20,844","4.39","77.64","1,766.86"
"1828","897","21,126","4.24","73.75","1,737.58"
"1829","930","21,929","4.24","74.21","1,750.79"
"1830","1,022","23,945","4.27","79.19","1,856.05"
"1831","1,052","25,922","4.06","79.25","1,952.39"
"1832","1,129","27,674","4.08","82.57","2,023.52"
"1833","1,158","28,526","4.06","82.24","2,025.12"
"1834","1,219","29,006","4.20","84.04","1,999.84"
"1835","1,340","30,545","4.39","89.84","2,047.65"
"1836","1,479","31,449","4.70","96.39","2,050.11"
"1837","1,554","31,737","4.90","98.40","2,009.95"
"1838","1,598","33,050","4.83","98.48","2,037.10"
"1839","1,661","33,899","4.90","99.73","2,035.24"
"1840","1,574","33,992","4.63","91.91","1,985.49"
"1841","1,652","34,753","4.75","93.80","1,973.28"
"1842","1,618","35,864","4.51","89.26","1,978.82"
"1843","1,568","37,641","4.16","84.09","2,019.28"
"1844","1,702","39,780","4.28","88.86","2,076.50"
"1845","1,859","42,298","4.40","94.35","2,146.22"
"1846","2,065","45,735","4.51","101.64","2,251.54"
"1847","2,410","48,848","4.93","114.82","2,327.55"
"1848","2,427","50,495","4.81","111.80","2,326.31"
"1849","2,419","51,197","4.72","107.66","2,279.05"
"1850","2,581","53,575","4.82","110.96","2,303.20"
"1851","2,724","57,887","4.71","113.07","2,402.44"
"1852","3,066","64,572","4.75","122.66","2,582.97"
"1853","3,311","69,852","4.74","127.78","2,695.84"
"1854","3,713","72,264","5.14","138.25","2,690.78"
