State,Year,(R01) Total Revenue,(E001) Total Expenditure,Expenditure Percent Change
Alabama,1978,3109,2986,0.5048805116
Alabama,1979,3082,2908,-2.612190221
Alabama,1980,2967,2859,-1.6850068776
Alabama,1981,3291,2819,-1.3990905911
Alabama,1982,2921,2829,0.3547357219
Alabama,1983,3076,3059,8.1300813008
Alabama,1984,3464,2903,-5.0997057862
Alabama,1985,3555,3267,12.5387530141
Alabama,1986,3569,3331,1.9589837772
Alabama,1987,3566,3188,-4.2930051036
Alabama,1988,3869,3317,4.0464240903
Alabama,1989,3803,3400,2.5022610793
Alabama,1990,3937,3522,3.5882352941
Alabama,1991,4017,3642,3.4071550256
Alabama,1992,4151,3802,4.3931905546
Alabama,1993,4294,3862,1.5781167806
Alabama,1994,4218,3933,1.8384256862
Alabama,1995,4365,4079,3.7121789982
Alabama,1996,4305,4097,0.4412846286
Alabama,1997,4588,4239,3.4659506956
Alabama,1998,4745,4390,3.562160887
Alabama,1999,4822,4573,4.1685649203
Alabama,2000,5048,4753,3.9361469495
Alabama,2001,5183,4851,2.0618556701
Alabama,2002,4257,5127,5.6895485467
Alabama,2003,5292,5118,-0.1755412522
Alabama,2004,5741,5243,2.442360297
Alabama,2005,5736,5234,-0.171657448
Alabama,2006,5835,5302,1.2991975545
Alabama,2007,6433,5567,4.9981139193
Alabama,2008,3997,5626,1.0598167774
Alabama,2009,4507,5943,5.6345538571
Alabama,2010,5948,6094,2.5408043076
Alabama,2011,5590,5965,-2.1168362324
Alabama,2012,6013,5747,-3.6546521375
Alaska,1978,11539,11288,3.1621275818
Alaska,1979,13318,11492,1.8072289157
Alaska,1980,22201,13974,21.5976331361
Alaska,1981,30984,15350,9.8468584514
Alaska,1982,31162,17362,13.1074918567
Alaska,1983,24763,18190,4.7690358254
Alaska,1984,23498,17881,-1.698735569
Alaska,1985,23712,19834,10.9222079302
Alaska,1986,23537,16246,-18.0901482303
Alaska,1987,18322,16550,1.8712298412
Alaska,1988,18470,15032,-9.1722054381
Alaska,1989,17302,15051,0.1263970197
Alaska,1990,17611,14883,-1.1162049033
Alaska,1991,18788,14608,-1.8477457502
Alaska,1992,17587,14607,-0.0068455641
Alaska,1993,19504,14375,-1.588279592
Alaska,1994,15929,14769,2.7408695652
Alaska,1995,20852,13956,-5.5047735121
Alaska,1996,19846,13536,-3.0094582975
Alaska,1997,22027,13355,-1.3371749409
Alaska,1998,20538,13185,-1.2729314863
Alaska,1999,16131,13545,2.7303754266
Alaska,2000,18227,14037,3.6323366556
Alaska,2001,12655,18509,31.8586592577
Alaska,2002,9972,14708,-20.5359554811
Alaska,2003,13325,15629,6.2618982866
Alaska,2004,16319,14913,-4.5812272058
Alaska,2005,16191,14200,-4.7810635016
Alaska,2006,18289,14517,2.2323943662
Alaska,2007,20867,14961,3.0584831577
Alaska,2008,25307,15692,4.8860370296
Alaska,2009,14763,16831,7.2584756564
Alaska,2010,18262,16223,-3.6123819143
Alaska,2011,21054,15973,-1.5410220058
Alaska,2012,20608,16061,0.5509296939
Arizona,1978,3389,2891,-0.7211538462
Arizona,1979,3377,2742,-5.1539259772
Arizona,1980,3244,2684,-2.1152443472
Arizona,1981,3060,2764,2.9806259314
Arizona,1982,2884,2672,-3.3285094067
Arizona,1983,3082,2787,4.3038922156
Arizona,1984,3280,2915,4.5927520632
Arizona,1985,3573,3082,5.7289879931
Arizona,1986,3823,3213,4.250486697
Arizona,1987,3924,3472,8.0610021786
Arizona,1988,3771,3469,-0.08640553
Arizona,1989,3873,3659,5.4770827328
Arizona,1990,4110,3941,7.707023777
Arizona,1991,4012,3578,-9.2108601878
Arizona,1992,3992,3801,6.2325321409
Arizona,1993,4238,3823,0.5787950539
Arizona,1994,4288,3840,0.4446769553
Arizona,1995,4280,3794,-1.1979166667
Arizona,1996,4018,3796,0.0527148129
Arizona,1997,4064,3750,-1.2118018967
Arizona,1998,4783,3844,2.5066666667
Arizona,1999,4148,3917,1.8990634755
Arizona,2000,4215,4215,7.6078631606
Arizona,2001,3808,4214,-0.0237247924
Arizona,2002,4091,4401,4.4375889891
Arizona,2003,4060,4440,0.8861622359
Arizona,2004,5114,4680,5.4054054054
Arizona,2005,5124,4855,3.7393162393
Arizona,2006,5602,4977,2.5128733265
Arizona,2007,5725,5176,3.998392606
Arizona,2008,4609,5239,1.2171561051
Arizona,2009,3920,5317,1.4888337469
Arizona,2010,5481,5424,2.0124130149
Arizona,2011,6000,5187,-4.3694690265
Arizona,2012,4905,4868,-6.1499903605
Arkansas,1978,2891,2647,1.3787820758
Arkansas,1979,2743,2643,-0.1511144692
Arkansas,1980,2794,2614,-1.0972379871
Arkansas,1981,2785,2595,-0.726855394
Arkansas,1982,2600,2450,-5.5876685934
Arkansas,1983,2738,2487,1.5102040816
