Name,GNP def pct,GNP real pct,GNP pct,GNP,GNP real,GNP def,CPI growth,CPI 2010 dollars,SURPLUS millions,SURPLUS pct,GCE,GCEI,M2 US,M2 seasonally adjusted,M1 seasonally adjusted,M1 growth,Unemployment Rate,Unemployment Rate pct,NASDAQ pct ,DJIA pct,Stage
DATE,A001RI1Q225SBEA,A001RL1Q225SBEA,A001RP1Q027SBEA,GNP,GNPC96,GNPDEF,CPALTT01USQ657N,CPALTT01USQ661S,FGOSNTQ027S,FGOSNTQ027S_PCH,GCE,GCEC1,MABMM201USQ189N,MABMM201USQ189S,MANMM101USQ189S,MANMM101USQ657S,Computed Unemployment Rate,UNRATE pct change over one year ago,NASDAQ pct change over one year ago,DJIA pct change (BCB),"NBER (1=Contraction, 2=Expansion)"
1947-01-01,0,0,0,244.1,1947,12.535,0,0,0,0,40.1,478.7,0,0,0,0,0,0,0,0,2
1947-04-01,5.9,-0.3,5.5,247.4,1945.3,12.716,0,0,0,0,40.3,482.8,0,0,0,0,0,0,0,0.0005643341,2
1947-07-01,6.9,-0.4,6.4,251.2,1943.3,12.929,0,0,0,0,39.8,485.9,0,0,0,0,0,0,0,0.00107163,2
1947-10-01,10.2,6.5,17.4,261.5,1974.3,13.247,0,0,0,0,40,482.5,0,0,0,0,0,0,0,0.0206772213,2
1948-01-01,3.1,6.2,9.5,267.6,2004.2,13.35,0,0,0,0,41.2,488.6,0,0,0,0,3.7,0,0,-0.0218591301,2
1948-04-01,3.6,6.7,10.6,274.4,2037.2,13.468,0,0,0,0,43.1,505,0,0,0,0,3.7,0,0,0.0691873589,2
1948-07-01,7.6,2.3,10,281,2048.6,13.716,0,0,0,0,44.8,515,0,0,0,0,3.8,0,0,-0.0589042542,2
1948-10-01,1.2,0.4,1.6,282.1,2050.8,13.757,0,0,0,0,46.8,533.8,0,0,0,0,3.8,0,0,-0.005608525,1
1949-01-01,-2.1,-5.4,-7.4,276.8,2022.4,13.685,0,0,0,0,48.8,548.6,0,0,0,0,4.7,1,0,-0.0011280316,1
1949-04-01,-3.9,-1.4,-5.3,273,2015.3,13.548,0,0,0,0,50.6,572.5,0,0,0,0,5.9,2.2,0,-0.0546583851,1
1949-07-01,-2.1,4.4,2.2,274.5,2037,13.478,0,0,0,0,50.6,577.6,0,0,0,0,6.7,2.9,0,0.0901326006,1
1949-10-01,0.2,-3.7,-3.5,272.1,2017.7,13.486,0,0,0,0,50.1,565.8,0,0,0,0,7,3.2,0,0.0965426552,1
1950-01-01,-0.8,17,16.1,282.4,2098.4,13.459,0,0,0,0,49.2,557.1,0,0,0,0,6.4,1.7,0,0.0295807725,2
1950-04-01,1.4,12.7,14.3,292.1,2162.2,13.507,0,0,0,0,49.9,566.6,0,0,0,0,5.6,-0.3,0,0.0148507644,2
1950-07-01,9,16.7,27.1,310.1,2247.3,13.8,0,0,0,0,50,557.3,0,0,0,0,4.6,-2.1,0,0.0824924681,2
1950-10-01,7.6,7.9,16.1,321.9,2290.3,14.056,0,0,0,0,53.9,597.2,0,0,0,0,4.2,-2.8,0,0.0399805619,2
1951-01-01,15.1,5.5,21.4,337.9,2320.9,14.559,0,0,0,0,62.3,660.9,0,0,0,0,3.5,-2.9,0,0.0532262861,2
1951-04-01,2.7,7.5,10.4,346.3,2363.2,14.655,0,0,0,0,70,748.8,0,0,0,0,3.1,-2.5,0,-0.0213761394,2
1951-07-01,0.3,8.5,8.9,353.8,2412.2,14.666,0,0,0,0,78.3,830.9,0,0,0,0,3.2,-1.4,0,0.1175403891,2
1951-10-01,4.6,1,5.7,358.7,2418.4,14.833,0,0,0,0,83.6,874.8,0,0,0,0,3.4,-0.8,0,-0.007117569,2
1952-01-01,-0.2,4.1,3.9,362.2,2442.9,14.827,0,0,0,0,85.3,900.5,0,0,0,0,3.1,-0.4,0,0.0008542882,2
1952-04-01,0.5,0.8,1.4,363.4,2448,14.846,0,0,0,0,89.2,930.7,0,0,0,0,3,-0.1,0,0.0178134046,2
1952-07-01,4.5,2.9,7.5,370.1,2465.4,15.011,0,0,0,0,91.2,940,0,0,0,0,3.2,0,0,-0.0133085393,2
1952-10-01,1.1,13.6,14.9,383.2,2545.5,15.053,0,0,0,0,93.7,955.6,0,0,0,0,2.8,-0.6,0,0.0786741066,2
1953-01-01,0.2,7.6,7.7,390.4,2592.3,15.059,0,0,0,0,96,985.5,0,0,0,0,2.7,-0.4,0,-0.0412127441,2
1953-04-01,0.8,3.3,4.1,394.3,2613.3,15.088,0,0,0,0,98.2,1005.9,0,0,0,0,2.6,-0.4,0,-0.0414835459,1
1953-07-01,1.7,-2.5,-0.8,393.5,2597.1,15.152,0,0,0,0,96.9,995.2,0,0,0,0,2.7,-0.5,0,-0.0157310072,1
1953-10-01,0.8,-5.9,-5.1,388.3,2557.9,15.182,0,0,0,0,97,992.4,0,0,0,0,3.7,0.9,0,0.0638539615,1
1954-01-01,1.2,-1.7,-0.4,387.9,2547.3,15.229,0,0,0,0,95.1,967.3,0,0,0,0,5.3,2.6,0,0.080491278,1
1954-04-01,0.4,0.4,0.8,388.7,2549.9,15.245,0,0,0,0,92.8,934.3,0,0,0,0,5.8,3.2,0,0.0989094264,1
1954-07-01,0.5,4.6,5.2,393.6,2578.8,15.264,0,0,0,0,91.4,914.3,0,0,0,0,6,3.3,0,0.080742362,2
1954-10-01,1.1,8.3,9.5,402.7,2630.7,15.307,0,0,0,0,91.6,908.6,0,0,0,0,5.3,1.6,0,0.1218720524,2
